,Grandes Regiões e Unidades da Federação,Número mensal médio de leitos de internação (total)_2010,Número mensal médio de leitos de internação (total)_2011.0,Número mensal médio de leitos de internação (total)_2012.0,Número mensal médio de leitos de internação (total)_2013.0,Número mensal médio de leitos de internação (total)_2014.0,Número mensal médio de leitos de internação (total)_2015.0,Número mensal médio de leitos de internação (total)_2016.0,Número mensal médio de leitos de internação (total)_2017.0,Número mensal médio de leitos de internação (total)_2018.0,Número mensal médio de leitos de internação (total)_2019.0,Número mensal médio de leitos de internação (total)_2020.0,Número mensal médio de leitos de internação (total)_2021.0,Número mensal médio de leitos de internação (total)_2022.0,Número mensal médio de leitos de internação (total)_2023.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2010,Número mensal médio de leitos de internação por 10.000 mil habitantes_2011.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2012.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2013.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2014.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2015.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2016.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2017.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2018.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2019.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2020.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2021.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2022.0,Número mensal médio de leitos de internação por 10.000 mil habitantes_2023.0
10,Ceará,18618.75,18962.5,19196.08333333333,18867.58333333333,18210.0,17528.33333333333,17477.5,17645.41666666667,18144.66666666667,18303.25,19254.08333333333,19627.66666666667,19731.83333333333,19584.75,21.80762184216266,22.07046510282655,22.20245825963293,21.68401610147687,20.79459564332095,19.88191913282241,19.69704585447481,19.77258275565213,20.21323225900267,20.25674797919481,21.1841057767459,21.49912226126529,21.53435582007478,21.29547514579187
11,Rio Grande do Norte,7609.916666666667,7536.833333333333,7447.083333333333,7498.666666666667,7491.25,7329.416666666667,7275.0,7329.583333333333,7378.75,7306.416666666667,7611.75,7884.916666666667,7845.583333333333,7749.583333333333,23.76013264189861,23.35360951955117,22.90194691535518,22.89318298894846,22.70839585436313,22.06318540290242,21.76655896583264,21.81932079211713,21.85965324953763,21.53738780670948,22.33745097014982,23.05947877910882,22.88706629268276,22.55225954749102
12,Paraíba,9503,9514.5,9276.333333333334,9127.083333333334,9079.25,8693.25,8674.5,8768.666666666666,8461.0,8276.25,8450.666666666666,9035.75,9097.5,9390.916666666666,24.92530670087612,24.80597397829995,24.04199197523249,23.51369004497453,23.2443973942619,22.1087583312373,21.91939011309036,22.02345909460192,21.10810437946389,20.49687825826376,20.78918031079628,22.10427999725034,22.15645979835491,22.76879507045918
13,Pernambuco,21851.5,21025.58333333333,20840.66666666667,20624.41666666667,21319.91666666667,20812.33333333333,21213.58333333333,21302.66666666667,21221.75,21237.66666666667,22669.75,22947.25,23125.08333333333,23126.91666666667,24.47065816736423,23.4078388905508,23.05579097990578,22.67100789816134,23.28802491289531,22.58991818214347,22.9021991178079,22.89579500603833,22.70120331059371,22.60166590308489,24.01720655300869,24.23107025677242,24.36007584234293,24.30706604517205
14,Alagoas,6265.75,6259.833333333333,6192.5,5995.25,6235.666666666667,6348.75,6454.0,6429.166666666667,6089.666666666667,5730.0,6400.083333333333,6458.833333333333,6484.916666666667,6512.25,20.00798307587914,19.92201353056864,19.64428069892717,18.95629925230873,19.65610898144538,19.95722968032597,20.2452644463168,20.13421417584385,19.02944715544712,17.85767711823839,19.90804263044445,20.07208402129931,20.1496238843899,20.23313191079246
15,Sergipe,3791.083333333333,3917.75,3893.333333333333,3503.25,3330.333333333333,3175.166666666667,3168.416666666667,3154.916666666667,3150.5,3116.0,3412.25,3306.083333333333,3251.75,3265.083333333333,18.15890359866656,18.58933175676125,18.306346362029,16.32741042819691,15.38835219873538,14.54995420632753,14.41295260484711,14.25807971659642,14.14640235502463,13.90264578592781,15.13717839179707,14.59680041137274,14.30227714859634,14.30802768689722
16,Bahia,30148.5,30158.66666666667,29971.0,30067.91666666667,30148.0,29115.25,28949.08333333333,29067.16666666667,29291.16666666667,28973.33333333333,29661.5,30009.25,29934.33333333333,30343.83333333333,21.25000960350866,21.18261879923002,20.96921706900286,20.95174817881829,20.92214703089487,20.12049109471186,19.92767390583854,19.93811699065092,20.01767462703731,19.71880512026497,20.11146722142399,20.29260352968941,20.2104167174442,20.46276236490877
17,Minas Gerais,43977.08333333334,44459.16666666666,44337.41666666666,43593.0,42581.25,42446.41666666666,42105.25,41750.83333333334,41152.91666666666,40914.5,42384.91666666666,42770.75,42837.91666666666,42564.16666666666,22.11425123351615,22.25014803265251,22.06488203093676,21.56497732518791,20.93379074306237,20.73570871117725,20.4511882747411,20.17435481083686,19.78387856850956,19.5606382654744,20.15257632624,20.25416279202692,20.2271723283862,20.03264618889937
18,Espírito Santo,7719.75,7715.083333333333,7642.5,7882.083333333333,8146.5,7922.666666666667,7667.0,7583.0,7625.666666666667,8001.083333333333,8053.833333333333,8160.666666666667,8285.916666666666,8410.75,21.20293181223921,20.98735340861496,20.57611506793551,20.99782387198051,21.47251957672265,20.66405444780122,19.80691679131565,19.42092701567991,19.36864663391345,20.15381661183472,20.12720168211642,20.26215665257453,20.45444241006081,20.63446929737188
19,Rio de Janeiro,49301,48432.83333333334,47492.25,45995.83333333334,45010.25,40119.66666666666,38840.25,38937.91666666666,37939.83333333334,36948.5,35179.08333333334,35626.16666666666,35591.25,36029.91666666666,29.74392926952624,29.10164245116632,28.40599496599517,27.37747815902717,26.655550082871,23.63893888014762,22.78858960836441,22.77018152832856,22.12371534113405,21.48928350773317,20.42646633730696,20.68828417522456,20.67844892097031,20.93081681941512
20,São Paulo,96694.91666666667,96453.41666666667,95399.58333333333,95305.25,95812.08333333333,95267.75,93430.0,92530.41666666667,92252.83333333333,91394.41666666667,93838.33333333333,94600.25,94431.91666666667,94439.83333333333,22.76628445080543,22.53214616373178,22.10253925536621,21.89903332467837,21.8384078055244,21.54504922448769,20.98130905133628,20.64993201747759,20.47234730929237,20.17263414714431,20.6133030817926,20.72207704758935,20.64673286168287,20.59730845948771
21,Paraná,29012,28885.16666666667,28373.25,27978.41666666667,28059.33333333333,27415.33333333333,27188.58333333333,27168.75,27248.91666666667,27371.75,27903.16666666667,27546.75,26419.83333333333,26087.66666666667,27.20250054476261,26.90675845868867,26.23030006078409,25.65169740934061,25.49981954616998,24.69435162719822,24.28492256764166,24.07468795615635,23.957239828685,23.86746443020355,24.13562671307101,23.68533463201029,22.60676788036626,22.19497444045767
22,Santa Catarina,15300,15323.58333333333,15466.41666666667,15635.25,15712.91666666667,15865.08333333333,15694.08333333333,15487.58333333333,15323.16666666667,15394.41666666667,15317.08333333333,15526.66666666667,15662.66666666667,15782.16666666667,24.03492699037472,23.74021287347169,23.59901112441798,23.47719032602066,23.20353187400217,23.02653318072379,22.38343260158505,21.70509750435583,21.08849276466908,20.79280473711221,20.30911443399552,20.23902382730108,20.08853954975045,19.90884899592274
23,Rio Grande do Sul,30342.75,30577.33333333333,30452.41666666667,30894.08333333333,31506.16666666667,31444.33333333333,31140.08333333333,31052.16666666667,30483.16666666667,30269.66666666667,30288.0,29561.58333333333,29855.5,29615.41666666667,27.88994122870069,28.031048912243,27.82396463472516,28.12380168370333,28.57094751616225,28.40317422551572,28.02944301787302,27.87178926077205,27.29624539808009,27.04013853660291,26.99396432497354,26.32894449061461,26.60798006792207,26.38981116038209
24,Mato Grosso do Sul,5938.75,5670.25,5646.916666666667,5666.083333333333,5839.583333333333,5786.5,5710.333333333333,5688.5,5547.333333333333,5610.25,5735.166666666667,5745.416666666667,5950.916666666667,5907.416666666667,23.84796892204571,22.49990278248434,22.12403538121787,21.91521856621553,22.29549802431503,21.81165869249161,21.26946856002308,20.94782028143766,20.20032086004183,20.20235301912692,20.43263435684734,20.28789656665641,20.84839061787097,20.52605348581838
25,Mato Grosso,6593.916666666667,6596.416666666667,6766.833333333333,6916.666666666667,6982.083333333333,6973.0,7039.25,7146.416666666667,7252.416666666667,7236.166666666667,7219.833333333333,7383.916666666667,7509.083333333333,7532.5,21.31233359966007,21.05260414306271,21.30038926289562,21.45711493113248,21.32529648232509,20.95559685434643,20.8256227421096,20.81514129256841,20.77670583417941,20.37211378241042,19.98853631902145,20.13794173040072,20.1804620501427,19.93574510194689
26,Goiás,17611.58333333333,17597.41666666667,17577.0,17282.25,17342.66666666667,17429.08333333333,17522.5,17758.16666666667,17722.08333333333,17295.41666666667,17900.75,18576.16666666667,18820.33333333333,18728.0,28.47505202306407,28.09294745411264,27.67501094672092,26.82840994682829,26.53545215052785,26.2865092640813,26.0731971996739,26.0937229692942,25.72725885248042,24.79723485830384,25.35412851313473,26.03908949604479,26.13480004084474,25.74485566838404
27,Distrito Federal,6881.166666666667,6941.916666666667,6603.333333333333,6857.5,6943.833333333333,6554.583333333333,6357.416666666667,6414.5,6694.166666666667,7129.25,7206.166666666667,7679.083333333333,7805.25,7722.583333333333,26.02581893362411,25.97029379730757,24.43012509432605,25.08572862564228,25.11889921788539,23.45260513404376,22.51552703374334,22.50453809650445,23.28071364588901,24.58609625520915,24.66668286884983,26.13688900990745,26.43673372338544,26.02349261100288
