Grandes Regiões,"Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Rede geral de distribuição,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Poço profundo ou artesiano,"Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Poço raso, freático ou cacimba",Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Fonte ou nascente,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Água da chuva armazenada,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Outra forma,"Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Total
(1 000 pessoas)",Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Coletado diretamente por serviço de limpeza,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Coletado em caçamba de serviço de limpeza,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Queimado (na propriedade),Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Enterrado (na propriedade),Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Jogado em terreno baldio ou logradouro,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Outro destino,"Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Rede geral ou rede pluvial,Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Fossa séptica ligada à rede,Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Fossa séptica não ligada à rede,Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Fossa rudimentar,Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Vala,"Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Rio, lago ou mar",Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Outra forma,Tabela 3.15 (Esgot_Geo_pes)_Pessoas_Forma de esgotamento sanitário (%)_Sem banheiro ou sanitário,"Tabela 3.17 (Sane_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.17 (Sane_Geo_pes)_Pessoas_Proporção de pessoas com acesso simultâneo aos três serviços de saneamento básico (%),"Tabela 3.19 (DocProp_Geo_pes)_Pessoas_Total_Total
(1 000 pessoas)",Tabela 3.19 (DocProp_Geo_pes)_Pessoas_Total_Em domicílios próprios sem documentação de propriedade (%),"Tabela 3.19 (DocProp_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Próprio_Total
(1 000 pessoas)",Tabela 3.19 (DocProp_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Próprio_Em domicílios próprios sem documentação de propriedade (%),"Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Total_Total
(1 000 pessoas)",Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Total_Em domicílios com ônus excessivo com aluguel (1) (%),"Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Alugado_Total
(1 000 pessoas)",Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Alugado_Em domicílios com ônus excessivo com aluguel (1) (%),"Tabela 3.25 (Bens_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Telefone (fixo ou ao menos um celular),Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Geladeira,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Máquina de lavar roupa,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Automóvel,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Motocicleta,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Acesso à Internet,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Microcomputador,Tabela 4.14 (TaxaAnalf_Geo)_Taxa de analfabetismo da população de 15 anos ou mais de idade (%),Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Sem instrução,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino fundamental incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino fundamental completo,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino médio incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino médio completo,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino superior incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino superior completo
Ceará,9339.300000182253,81.87404794803425,9.434773459266873,3.73070947685879,1.2216791301871048,1.6123820616804525,2.126407923973168,9339.300000182253,79.31366347308645,7.761112424798763,12.147100240794513,0.16355379336751175,0.518517191463871,0.09605287648951209,9339.300000182253,45.86605267019948,9.63631806447426,19.077725430060177,20.839780006999057,2.3546247607929907,0.4316414058268137,0.5012292365720862,1.2926284250761306,9339.300000182253,53.02807899520254,9339.300000182253,18.136332265348873,6665.279622978324,25.412384402470426,9339.300000182408,3.6193251503569233,1861.2857044910656,18.16054531328953,9339.300000182253,96.76084157381904,98.18348651888805,45.091701740368904,28.675599571590467,39.9633445415435,90.55841965342236,25.79198048000388,11.457387991819303,11.91952567145446,29.437907953347796,7.333747829652955,5.998480998302508,28.69223847476565,3.343276813222659,13.274822259254446
Rio Grande do Norte,3612.280000100681,89.03791529654056,5.137736902185755,2.119404065447184,0.10063422591323636,0.5725282814273375,3.031781228485802,3612.280000100681,82.99699019677398,9.044395646707109,7.29416099963635,0.1151648011132587,0.4177964014757783,0.13149195429362007,3612.280000100681,30.881530048868456,7.455818876957262,35.42629704084462,22.293898417045984,2.629031966305559,0.33431076312227526,0.9201959826678247,0.05891690418767833,3612.280000100681,37.41336541547036,3612.280000100681,8.584915882845303,2526.826764707763,12.272752679084242,3612.280000100689,4.610151210886133,750.9577601597581,22.175890442867484,3612.280000100681,97.8394950290834,98.89311005296743,51.74562243646909,35.256591711776224,38.697900815781324,91.68332491879225,29.970911490620182,10.899893852309175,9.36571673722121,31.143357978520953,6.480356896510884,5.8778559791319775,28.561659848388487,3.432943185376841,15.138109374850305
Paraíba,4077.206000075953,76.68444463753963,7.933693394790991,2.9227723558966456,0.7437309057566611,7.229672820434311,4.485685885580759,4077.206000075953,77.58358702222382,5.6247112120743115,16.066263551315842,0.15983360221064524,0.5045699692079977,0.061034642966375174,4077.206000075953,46.08373602252919,6.530936234344256,28.093938561837323,14.26690436581939,3.4823856651811087,0.7822752206877855,0.35279093192205546,0.4070329976780851,4077.206000075953,50.25489366291518,4077.206000075953,13.346022294631647,2853.840198283586,19.067109016667022,4077.206000075927,3.2947418514141282,797.2197913372817,16.85023552006093,4077.206000075953,97.11070582399648,98.49168969048314,39.719645538132816,32.95148507095342,39.97070245531708,91.14871035131549,27.443223458700352,13.204614728046778,12.428272417171316,34.65921775177746,6.050837486798389,5.44859954357032,24.94739923623556,2.9646511492496233,13.501022415197069
Pernambuco,9727.030000193778,77.83433259452823,8.999437041160732,3.8575885960287173,0.5576559245447894,2.8861223105373948,5.8648635332003956,9727.030000193778,79.56105771419806,6.452826745703899,11.55049817243807,0.0842373531128897,2.3122735790391067,0.03910643550820957,9727.030000193778,55.96768294615835,7.8888182683783015,15.00011624681599,12.798857003366308,4.866354119394077,1.8469019542865626,0.805523353991388,0.8257461076090988,9727.030000193778,59.24251028894701,9727.030000193778,12.16735772492308,6950.177800076259,17.028665599334488,9727.030000193858,5.153048223272909,1962.344039347467,25.542847561474733,9727.030000193778,96.71332683298006,97.89249093440837,44.51611292049911,28.684736706538487,24.463802242244256,89.86177267723137,25.806084556961476,10.139744520485058,9.5288409226735,30.933279436940936,6.653270682799117,4.247709340213633,31.30056669169023,2.9264762230674033,14.409856702615505
Alagoas,3384.3090000642187,73.64045922096477,11.467043731191549,6.345677382792826,0.43016252583802406,3.93163063967603,4.185026499536852,3384.3090000642187,81.87220229009789,6.718476178463084,10.180775549870253,0.24141781512518096,0.8699334633064227,0.11719470313687932,3384.3090000642187,34.75117140359939,8.087748071616167,19.52595328272221,31.777336547471837,2.980322612521638,1.6796471464866438,0.27566202648348176,0.9221589090983541,3384.3090000642187,38.27261842915402,3384.3090000642187,8.82758379609597,2332.451750719008,12.80852702772498,3384.3090000642687,4.602476474775896,705.3889220478804,22.081722677111678,3384.3090000642187,96.84552842401528,97.8676776642964,38.925950661626466,28.785571446543493,31.95366121969706,90.83437953960501,24.95845431213821,14.203387341725216,12.640172219466137,32.971011983649014,6.824185761850002,5.308136442175844,25.335399594799803,3.785303573676755,13.135790424382376
Sergipe,2376.0890000426375,87.98739393721127,3.108308535870285,3.9752569473186927,0.25113373524362664,0.8848337565652116,3.7930730877914454,2376.0890000426375,90.34522984330708,2.199342091824102,6.7774845518404545,0.09825657529276517,0.5339064204014405,0.045780517334598265,2376.0890000426375,45.85390796830094,3.8400821655372717,7.654608693257974,34.89216186705228,4.659873358579306,1.7103771010042474,0.7277214689033009,0.661267377364993,2376.0890000426375,49.02001314459113,2376.0890000426375,8.655885046706992,1663.2841768843257,12.365387425040302,2376.089000042632,4.91480088324656,478.196836248038,24.420915051860785,2376.0890000426375,97.48357833346384,98.47178694862794,43.911401414087976,30.86027145618632,30.620146032593386,92.27130563603463,27.067582738847786,11.214722392924958,9.1947959848147,32.90397267219461,6.363068354473089,5.464602291681129,26.97526242425946,3.664700399233128,15.433597873344018
Bahia,15065.086000435802,84.71411047715902,6.73218737964422,2.1686584382578857,2.046203226753309,1.8612005000853478,2.477639978100229,15065.086000435802,70.88595806614056,12.645810526984903,15.233569096170719,0.23327741165801005,0.7641862975946452,0.23719860145077246,15065.086000435802,52.14908698997895,3.7085884384264793,16.62423945535907,22.498980281093417,2.1816455699660193,1.3353505588823014,0.43386155204974575,1.0682471542436187,15065.086000435802,54.152251925281675,15065.086000435802,11.522231178882777,11735.843937366417,14.790875249635006,15065.086000435875,3.4110291955681533,2095.1538802211107,24.526813360271497,15065.086000435802,96.80395841723082,97.04515860306479,38.05245998523334,33.49421035631793,31.779919509246085,90.56781151198199,25.757993253716858,10.172860287428474,12.578714839818346,30.223926422658966,5.731787920670688,4.742298014279448,31.836166226241506,2.9983950947880595,11.88871148154315
Minas Gerais,21623.759000453898,88.0783919340998,4.590020044846498,1.64827608369436,5.279422421659301,0.061126373930510756,0.3427631417686619,21623.759000453898,88.74696927799427,4.48345691477293,6.363989867399718,0.11134226777756122,0.10867108461334873,0.18557058744142263,21623.759000453898,81.69023087432474,1.0532304446735565,3.8243233078461856,9.565079987310135,0.3784981507496987,3.2306580360927657,0.06546458517551358,0.19251461382623603,21623.759000453898,81.9656433367562,21623.759000453898,5.806513300919642,14713.48999618881,8.533573223248853,21623.759000453527,4.274233608056296,4660.26785987047,19.832550452329333,21623.759000453898,98.70787400228402,99.32259446920862,73.0209805855309,59.66769271329448,28.468152832164122,93.67018064438804,43.28464289616492,4.569937283772132,4.410870519846237,32.41456972141572,7.635579742225911,4.929767240555931,28.820423927900265,3.7508682660131214,18.03792058204225
Espírito Santo,4190.235000092985,85.79528070401398,8.344102353833398,2.453794594119382,3.382043322714244,0,0.02477902531807782,4190.235000092985,89.76750026661654,4.48738944195653,5.469050274929303,0.11459044248695942,0.01797991144323124,0.14348966256633747,4190.235000092985,77.3999704950347,2.6135327787155083,11.098206012172575,4.76939017146998,1.2746470966228558,2.7255217024869887,0.049303341961349494,0.06942840153536589,4190.235000092985,78.34747114921608,4190.235000092985,6.60485949269858,2810.632622431871,9.84686265864794,4190.2350000929755,4.424910557351219,920.5093920748606,20.142559379976564,4190.235000092985,98.72487702005107,99.3234265376682,79.9246198777168,54.8077863542496,28.12363801542365,93.53576081408734,45.24248833813011,4.445975814983249,5.237555958888161,28.624373007244728,7.770982554965719,4.814695772682102,29.61210721543812,3.99383496443447,19.946450526346773
Rio de Janeiro,17643.510000381026,86.56173387580277,10.117374109752891,0.6728083660894394,2.1483996512247585,0.027805176444732772,0.47187882068591924,17643.510000381026,91.10401477154653,7.779174994337085,0.6267781661885993,0.003261967488598204,0.4612193746100003,0.02555072582939936,17643.510000381026,81.75981906086302,7.296069958066799,6.298085120780644,0.8024950706603878,1.8640891580285244,1.7881105475616161,0.17971407242382806,0.0116170116154084,17643.510000381026,83.42928998948314,17643.510000381026,6.823864379951729,12295.651065779783,9.791829548904456,17643.510000381,6.576547102460125,3841.4140398599106,30.20590162014005,17643.510000381026,98.84671808938991,99.49789063557284,84.39222270800373,48.551898249404,11.755197707022324,95.22512167633012,50.5650980532518,1.98911709863137,3.1620105272399393,19.540114346456097,7.476759828254457,4.746770803422898,34.15014926464173,5.749099731522411,25.175095498462806
