Grandes Regiões,"Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Rede geral de distribuição,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Poço profundo ou artesiano,"Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Poço raso, freático ou cacimba",Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Fonte ou nascente,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Água da chuva armazenada,Tabela 3.11 (AbastAgua_Geo_pes)_Pessoas_Forma de abastecimento de água no domicílio (%)_Outra forma,"Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Total
(1 000 pessoas)",Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Coletado diretamente por serviço de limpeza,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Coletado em caçamba de serviço de limpeza,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Queimado (na propriedade),Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Enterrado (na propriedade),Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Jogado em terreno baldio ou logradouro,Tabela 3.13 (DestLixo_BR_pes)_Distribuição das pessoas por destino do lixo domiciliar_Destino do lixo_Outro destino,"Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Total_Total
(1 000 pessoas)",Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Total_Em domicílios com ônus excessivo com aluguel (1) (%),"Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Alugado_Total
(1 000 pessoas)",Tabela 3.22 (OnusAlug_Geo_pes)_Pessoas_Condição de ocupação do domicílio_Alugado_Em domicílios com ônus excessivo com aluguel (1) (%),"Tabela 3.25 (Bens_Geo_pes)_Pessoas_Total
(1 000 pessoas)",Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Telefone (fixo ou ao menos um celular),Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Geladeira,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Máquina de lavar roupa,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Automóvel,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Motocicleta,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Acesso à Internet,Tabela 3.25 (Bens_Geo_pes)_Pessoas_Tipos de bens (%)_Microcomputador,Tabela 4.14 (TaxaAnalf_Geo)_Taxa de analfabetismo da população de 15 anos ou mais de idade (%),Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Sem instrução,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino fundamental incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino fundamental completo,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino médio incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino médio completo,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino superior incompleto,Tabela 4.9 (NivelInstru_Geo)_Distribuição percentual das pessoas de 25 anos ou mais de idade por nível de instrução (%)_Ensino superior completo
Ceará,9072.980000002754,78.57934771518492,10.436835353734606,4.929409262046237,0.8389957586393518,2.11227517569289,3.1031367347019776,9072.980000002754,71.38542707816119,10.521802928511882,16.382792268682334,0.5651954986054666,1.077857446931988,0.06692477910695421,9072.980000002875,4.421381192634003,1622.574391626691,24.723121072396676,9072.980000002754,93.75954539749026,98.30163366806269,40.009510902062885,29.374599424450796,38.95873383614456,68.95814558091473,29.60717613312604,12.36736547563907,12.443146618928756,33.74363002107598,8.59699921900383,5.038798561599991,25.02977894910426,3.577083885461887,11.570562744825367
Rio Grande do Norte,3479.010000020456,85.13934433449317,5.533693871707689,1.8380246583557935,0,0.3029023577157872,7.186034777727264,3479.010000020456,79.6429814078529,8.342135205488145,10.718184335667505,0.5005533746662862,0.4874576460260314,0.3086880302987581,3479.010000020488,3.7216371434649216,515.4043332011202,25.12127276491023,3479.010000020456,95.70895233592167,98.25629039083266,45.249913589178504,38.92501241757715,37.50087507352817,77.04066439251557,38.39181780232419,12.0895823295271,7.443504798805594,39.763389019744466,5.953135838785968,4.485420253919646,25.074075798578175,3.4835296320858573,13.796944658079719
Paraíba,3975.329000000214,75.75822664696943,7.9562562811679785,3.224437230727391,1.1573914297771937,5.479533795104705,6.4241546162527845,3975.329000000214,75.07567931981107,8.125554802859885,15.284440205823612,0.280608739958111,1.1797235837174076,0.0539933478295728,3975.3290000002016,4.575424205699167,688.8393111716597,26.405021079997994,3975.329000000214,94.17260201633303,97.9131291495216,37.26752848625777,34.32244948464277,40.509324242822736,73.96843804400014,30.87432377541889,15.159572538552789,13.399198714904689,39.19102681540704,5.4366139462711205,4.036044254586238,22.477196164326102,3.1779547134121575,12.281965391092662
Pernambuco,9439.033000001717,75.84659577345258,8.043027898156781,3.8846260088433726,0.6863401686982924,2.7867446142506243,8.75266553659702,9439.033000001717,73.75250732822033,11.011552054173759,12.472022582987037,0.2770726179925944,2.3349068865414195,0.15193853008371952,9439.03300000161,6.0821309695230426,1802.6671129701315,31.846941966490782,9439.033000001717,94.00440140327011,97.41222968227021,43.14273337824627,31.041212713816932,24.905287350924485,73.71366018928954,34.623385768462235,11.046312812907447,10.30630466829046,34.29642926119898,6.3923490752493635,4.416991476946863,27.494335057270305,3.4444925681469774,13.649097892897055
Alagoas,3315.5640000059047,76.88556465680855,7.7424350346409385,6.626718071408315,1.5786130603651958,2.974271003487917,4.1923981732888285,3315.5640000059047,66.52293405979118,18.67039806937307,13.31079173810743,0.196458756403387,1.166776836055677,0.13264054026923208,3315.5640000059157,4.7100772044229045,523.7585716368917,29.81633764470322,3315.5640000059047,93.40510758933446,97.97937087854427,36.71718907354559,26.035582166599593,25.3737664811246,67.83255858674913,27.236551017611877,16.191021132165307,15.953170566311451,38.61490841408317,6.597064431122415,4.193320737150094,22.16219412307564,2.308982741098549,10.170358987158721
Sergipe,2277.956000000919,86.01612370215591,5.934971482954657,3.1851176304941933,0.6363326498827928,1.5347632043492374,2.692691330162433,2277.956000000919,80.87504432254505,7.940919130774527,9.66191338123914,0.08556239688296008,1.0684797199458658,0.36808104861185065,2277.956000000936,5.6968967687149,368.81887742301006,35.186051935177794,2277.956000000919,94.84113247586298,98.00302127948879,41.99591786460878,32.89905840371025,26.234533895231763,77.28088364070402,28.3777206446387,12.900492408266315,11.241375052547179,38.634977889255055,6.40572110364473,5.050596725095474,23.289930516514058,3.370982466071543,12.006416246872032
Bahia,14793.319000003054,83.8575498915563,6.08040578100292,2.0821020623306774,2.1929098614146136,3.478910713805893,2.308121689889528,14793.319000003054,66.24093186915547,17.169921732079427,14.985304326931777,0.26728689763988545,1.2598040276944682,0.07675114649861617,14793.319000003154,3.6197656893405563,1991.6876675930712,26.885916611811584,14793.319000003054,91.95338928328101,95.83014760141506,35.03267824979023,30.993597227862754,29.0498277834297,71.80427391898264,32.34491147176359,11.913520988051099,13.691927809249112,35.32335854338194,5.429659475827926,4.91418558304328,26.94637858634763,3.514526686850394,10.179963315299906
Minas Gerais,21030.104000006886,88.68557619068713,3.42538650901218,1.9590514689542782,5.538238297020005,0.09268639592478256,0.29906113840054777,21030.104000006886,87.13174804617047,4.454686360327187,7.836665026923117,0.2114447885789593,0.19099032493437354,0.1744654530646061,21030.104000006693,4.2495386862623254,3808.2826056365034,23.46680899990967,21030.104000006886,97.154523769653,99.0624782776843,63.57728231358078,56.41099309000043,26.456970624318547,83.45378875467412,48.40946968950997,5.390821465113381,4.564174534379809,37.95912030764712,8.312443147293084,4.349511640464291,25.78392717531532,3.56665190336237,15.464171291538094
Espírito Santo,3968.734000001163,85.66322798916555,6.740438648366757,1.9951886830084102,5.439242059251574,0.01071691698712679,0.1511857032206809,3968.734000001163,86.54423449415972,4.73591032603812,7.298475802383975,0.11258185626219097,0.23699607573541756,1.0718014454208233,3968.734000001148,4.54433544335289,713.2355284922385,25.286539804839826,3968.734000001163,97.61401857048679,99.38225317914524,67.35841697723032,53.9288526799309,26.501175717664797,84.55252988037626,49.429723599889634,4.959025792700564,5.604458701765597,32.86784329632157,8.487437426425572,5.130024353319455,28.42102324807978,4.053122179522552,15.436090794565557
Rio de Janeiro,17159.435000004876,88.60599599333884,8.680047163713121,0.7756376641141997,1.477711467185672,0.00598663818831869,0.45462107345958047,17159.435000004876,89.0092875892631,9.82843983293653,0.6849837021222336,0.01375967451993241,0.32253145015838286,0.14099775099974723,17159.435000004934,6.957916763219703,3391.3121448719567,35.20581867241224,17159.435000004876,97.94250084619667,99.66567863121536,85.21776997082306,47.52801404187263,9.918327092158558,87.80844426222156,52.9110599628673,2.2070814039347173,3.406250699877025,24.465635461330084,9.376958802877024,4.556862713358557,32.8830508810575,5.187614175862637,20.123627265636884
São Paulo,45532.653000011065,95.77839224955315,2.3725902467309523,0.8190205292125023,0.8488644872942467,0,0.18113248720843997,45532.653000011065,93.67297265170042,5.006918488169662,0.8542348297458485,0.053474109588087515,0.2137484022792269,0.1986515185162093,45532.65300001114,7.377449602708302,10380.272297172629,32.360890270353394,45532.653000011065,98.71185922959383,99.31465223746251,85.38836274421622,65.9963736649979,17.796780195812914,89.04091870094,57.231796741483016,2.423165940530248,2.9180065410001683,25.620273826284652,8.529633108498446,4.5003363909332865,31.979527515027662,4.764344643596631,21.687877974659074
Paraná,11335.547000004737,90.21328802905127,4.677581965418172,1.5751317516484724,3.359207461077724,0,0.17479079280489748,11335.547000004737,89.14497300256069,3.909628446603295,4.8912519256498985,0.6971084194664563,0.10886804116117975,1.2481701645590735,11335.547000004739,4.171171551444518,2157.1301564281084,21.9191739661991,11335.547000004737,98.34647170976804,99.67599030852266,84.57109274957106,74.20502859347111,23.083209236568425,82.63115302448249,51.943286774617526,4.509454361126855,5.4615478643826,33.08461785258173,9.02604336428835,4.621009749681819,25.87311243717247,3.585711148167474,18.347957583726107
Santa Catarina,7063.804000000045,83.6854696270998,7.147158607930879,3.32670413595051,5.75369038100359,0.003993700226676693,0.08298354778912247,7063.804000000045,87.13616283517966,8.28270945622678,3.4010105412783,0.8009833801814082,0.05741773783375021,0.3217160493006289,7063.8039999999555,4.350320209466564,1352.0771928497916,22.727851234692633,7063.804000000045,98.42773012990693,99.77517879240628,94.02860490613449,79.41352046088741,26.58158244883345,86.03013987957962,58.69756094397557,2.2621489508910617,2.99702273553079,32.65088356031827,11.366908249569963,3.987619092161475,26.03112194215698,4.667077324506758,18.299367095755745
Rio Grande do Sul,11310.970000003503,89.98685008656203,6.677226557462711,1.92127573543322,1.3082890651534982,0.014830085443241964,0.09152846994525403,11310.970000003503,86.298503178881,8.692295776368388,3.4256093193183714,0.7698325234010194,0.3366209876364085,0.4771382143948112,11310.970000003532,3.0038856425232145,1604.7499893490035,21.172681484051314,11310.970000003503,98.71023919292065,99.6341872272953,85.55673875563501,68.67152987381202,18.921721183828932,83.86288588867417,52.92179349246579,2.769926079409866,2.507496231020491,36.19665405152904,10.570913688091009,5.061760069691395,23.687459893949576,5.677617567799785,16.29809849791935
Mato Grosso do Sul,2679.1120000007713,88.17523072982621,10.607748125652464,0.4555702887182988,0.6677724858604268,0.050320424525724314,0.04335794541735005,2679.1120000007713,87.62539155163287,4.780121507509358,5.66963133172177,1.2651100330385783,0.324664303779296,0.33508127231849555,2679.112000000769,4.221408656913128,544.7355835691508,20.76168131984597,2679.1120000007713,98.85353571068785,99.24027113722758,65.30360593072672,62.39592127947634,33.65822505940062,85.50892590652555,45.171406907879636,4.495547165022244,4.795776332899434,36.32389195611184,7.588711740823397,5.772855878111492,23.033324227520673,4.841334452733034,17.644105411800012
Mato Grosso,3388.9190000012104,80.32452178047033,11.786719600110425,5.500799342186786,2.1178841248080613,0,0.2700751524240238,3388.9190000012104,80.13354005674866,6.480774799721421,10.077970288322824,2.2488861068123045,0.43389893839111277,0.6249298100034962,3388.919000001214,4.693293023205428,746.5642249299581,21.304516567755627,3388.9190000012104,98.35439874466529,99.2514727114259,63.016375501841715,57.2005355372607,45.924082091025035,79.96956783903416,41.904843174536964,6.414686859262287,7.449567917802026,33.855474311819954,7.84766623110463,5.905123402474004,24.2208211090075,4.470756594695679,16.25059043309638
Goiás,6923.260000005142,87.75463003499239,6.733134947677185,3.813777818960509,1.6551227411728784,0.006215602867719572,0.03711885432972475,6923.260000005142,88.03244178035416,6.195619954014923,4.356391498879399,0.3013388969354695,0.28167620444971864,0.8325316653667116,6923.260000005163,5.784508517264008,1654.466009276628,24.205789791216684,6923.260000005142,98.95684276213197,99.30775845409937,74.14950100385278,62.42333442907002,32.69778838718161,85.778331076865,45.46494840616796,5.1807200919985545,6.240313981290534,33.09252124322237,7.5755622399772005,6.35930775045132,27.32464085222515,4.056353422514588,15.35130051031847
Distrito Federal,2972.209000001185,94.9145593330933,3.718758780777742,0.8532683288786216,0.5134135572509869,0,0,2972.209000001185,87.4285254519802,10.43099233968431,1.2773629477232262,0.24275430932135508,0.439828670104116,0.18053628118742274,2972.2090000011804,9.86826484657713,849.7423307282205,34.516987715859656,2972.209000001185,99.29648643482557,99.50703538045583,85.86485105374078,69.2867599141996,8.854692460051645,93.65579085394845,66.06331377729096,2.8649332261733953,3.981427261136672,19.017870386007594,6.705159333366395,3.6925375311538002,27.233900735101244,5.101701743150558,34.267403010084266
